user_id,fraud_score,risk_group,TransactionAmt,service_assignment
13832_375.0_185.0_224.0_mastercard_debit_nan_nan_hotmail.com_hotmail.com_315546.0_0.0_-9.0_Found_nan_chrome 62.0_Windows,0.009481257,Bajo riesgo,16.79,Paquete de Servicios completo
11408_555.0_185.0_226.0_visa_credit_nan_nan_hotmail.com_hotmail.com_140129.0_0.0_-1.0_New_nan_firefox 57.0_Windows,0.00076873635,Bajo riesgo,41.043,Paquete de Servicios completo
2261_111.0_150.0_226.0_visa_debit_143.0_nan_gmail.com_gmail.com_75314.0_0.0_0.0_New_Windows 10_edge 16.0_Windows,0.00017765856,Bajo riesgo,25.0,Paquete de Servicios completo
13307_428.0_150.0_166.0_visa_debit_184.0_nan_gmail.com_gmail.com_82667.0_0.0_0.0_New_Mac_chrome 63.0_MacOS,2.3331057e-05,Bajo riesgo,150.0,Paquete de Servicios completo
4621_555.0_162.0_226.0_visa_debit_nan_nan_anonymous.com_anonymous.com_361364.0_0.0_0.0_New_nan_samsung browser 4.0_SAMSUNG SM-G900I Build/MMB29M,0.0018085394,Bajo riesgo,1.041,Paquete de Servicios completo
5812_408.0_185.0_224.0_mastercard_debit_nan_nan_gmail.com_gmail.com_841332.0_0.0_0.0_New_nan_chrome 66.0_Windows,0.0024153856,Bajo riesgo,94.064,Paquete de Servicios completo
6053_122.0_150.0_195.0_mastercard_debit_204.0_nan_yahoo.com_yahoo.com_114852.0_0.0_0.0_New_Windows 10_chrome 63.0_Windows,0.00024462224,Bajo riesgo,100.0,Paquete de Servicios completo
3821_111.0_150.0_219.0_mastercard_credit_337.0_nan_hotmail.com_hotmail.com_116559.0_0.0_0.0_Found_Windows 8.1_ie 11.0 for desktop_WOW64,5.695851e-05,Bajo riesgo,100.0,Paquete de Servicios completo
15066_170.0_150.0_102.0_mastercard_credit_310.0_nan_gmail.com_gmail.com_92714.0_0.0_0.0_Found_Windows 10_chrome 63.0_Windows,0.00076555996,Bajo riesgo,600.0,Paquete de Servicios completo
2803_100.0_150.0_226.0_visa_debit_494.0_nan_gmail.com_gmail.com_94025.0_0.0_0.0_Found_Mac OS X 10_11_6_chrome 62.0_MacOS,0.00010636698,Bajo riesgo,100.0,Paquete de Servicios completo
1724_583.0_150.0_226.0_visa_credit_472.0_nan_comcast.net_gmail.com_24890.0_0.0_0.0_New_Mac OS X 10_12_6_safari generic_MacOS,1.6259199e-05,Bajo riesgo,100.0,Paquete de Servicios completo
15885_545.0_185.0_138.0_visa_debit_nan_nan_hotmail.com_hotmail.com_555721.0_0.0_0.0_Found_nan_samsung browser 6.2_SAMSUNG SM-G928G Build/NRD90M,0.0071651735,Bajo riesgo,28.858,Paquete de Servicios completo
9633_296.0_185.0_138.0_visa_debit_nan_nan_hotmail.com_hotmail.com_238337.0_0.0_0.0_Found_nan_chrome 63.0_Windows,0.0009811317,Bajo riesgo,12.144,Paquete de Servicios completo
10024_321.0_150.0_144.0_visa_credit_337.0_nan_anonymous.com_anonymous.com_32088.0_2.0_-7.0_Found_Windows 10_chrome 62.0_Windows,0.0022215704,Bajo riesgo,75.0,Paquete de Servicios completo
3602_119.0_150.0_195.0_visa_credit_330.0_nan_gmail.com_anonymous.com_91851.0_0.0_-6.0_Found_Windows 7_chrome 62.0_Windows,3.913129e-05,Bajo riesgo,150.0,Paquete de Servicios completo
9633_130.0_185.0_138.0_visa_debit_nan_nan_prodigy.net.mx_prodigy.net.mx_45971.0_0.0_0.0_Found_nan_chrome 65.0 for android_SM-T813 Build/NRD90M,0.012466479,Bajo riesgo,42.294,Paquete de Servicios completo
7664_490.0_150.0_226.0_visa_debit_264.0_nan_yahoo.com_yahoo.com_47549.0_0.0_0.0_Found_Windows 10_chrome 65.0_Windows,0.00082075095,Bajo riesgo,50.0,Paquete de Servicios completo
7676_512.0_150.0_226.0_visa_debit_299.0_nan_gmail.com_gmail.com_55043.0_2.0_-33.0_New_iOS 11.1.2_mobile safari 11.0_iOS Device,0.0004001342,Bajo riesgo,50.0,Paquete de Servicios completo
15127_399.0_150.0_150.0_american express_credit_315.0_nan_gmail.com_msn.com_242103.0_27.0_-54.0_New_iOS_mobile safari 9.0_iOS Device,0.004853383,Bajo riesgo,200.0,Paquete de Servicios completo
